             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
            160300     debug     FEFC amit_m.i PD       0:00      3 (PartitionTimeLimit)
            160310     debug     A001 tulika.m  R       0:16      3 cn[068,119,142]
            160309     debug     A001 tulika.m  R       0:21      3 cn037,hm[069-070]
            131344       gpu     4ey7 c_prasun PD       0:00      2 (PartitionTimeLimit)
            160204       gpu     5.sh gaurav_k PD       0:00      1 (QOSGrpJobsLimit)
            160287       gpu MirrorSt d_kumar. PD       0:00      1 (QOSGrpJobsLimit)
            160289       gpu     bash apoorva_ PD       0:00      1 (QOSGrpJobsLimit)
            160235       gpu     test abhiruch PD       0:00      1 (QOSGrpJobsLimit)
            159519       gpu   deepak deepak.i PD       0:00      1 (QOSGrpJobsLimit)
            160073       gpu        I s_gupta1 PD       0:00      1 (QOSGrpJobsLimit)
            159733       gpu 7a13b558 a_thomas PD       0:00      2 (QOSGrpJobsLimit)
            159734       gpu 7a13b558 a_thomas PD       0:00      2 (QOSGrpJobsLimit)
            160164       gpu   deepak deepak.i PD       0:00      1 (QOSGrpJobsLimit)
            160173       gpu   deepak deepak.i PD       0:00      1 (QOSGrpJobsLimit)
            159861       gpu     bash subham_k  R   20:06:11      1 gpu009
            160058       gpu  test.sh yash_msc  R   14:56:43      1 gpu017
            160034       gpu test2.sh snamdeo.  R   14:27:29      1 gpu007
            160025       gpu test1.sh npant.ii  R   13:51:14      1 gpu006
            160030       gpu test3.sh npant.ii  R   11:19:24      1 gpu005
            160064       gpu     5.sh a_mahaja  R    9:01:10      1 gpu019
            160063       gpu     4.sh a_mahaja  R   11:38:32      1 gpu016
            160136       gpu     5.sh a_mahaja  R    3:07:50      1 gpu016
            160135       gpu     4.sh a_mahaja  R    4:45:19      1 gpu005
            160024       gpu     5.sh gaurav_k  R    7:06:09      1 gpu006
            159737       gpu     bash apoorva_  R    6:57:15      1 gpu018
            159896       gpu 2train.s gaurav_k  R   19:38:45      1 gpu007
            160203       gpu     4.sh gaurav_k  R      26:40      1 gpu008
            159517       gpu   deepak deepak.i  R   18:30:49      1 gpu015
            159516       gpu   deepak deepak.i  R   18:54:49      1 gpu019
            160079 highmemor        I akansh1.  R    5:59:05      1 hm062
            160128 highmemor    h2hse ritika.i  R    4:39:14      3 hm[017,060-061]
            160050 highmemor BB_O2act akhilesh  R   16:23:14      1 hm011
            160031 highmemor BC_O2act akhilesh  R   17:27:48      1 hm004
            160232 highmemor     A001 tulika.m  R    1:19:18      1 hm073
            160269 highmemor     A100 tulika.m  R      17:04      1 hm063
            160092 highmemor      1ml abhiruch  R    5:59:05      1 hm059
            160076 highmemor        I s_gupta1  R    6:45:00      1 hm057
            160095 highmemor a7098f5f a_thomas  R    2:39:38      4 hm[045-047,056]
            160055 highmemor   PJJ_CD pankaj.p  R    5:21:11      1 hm074
            160259 highmemor  PJJ_Skx pankaj.p  R       7:04     10 hm[009-010,033,038,040,067-068,076-078]
            160215 highmemor  F&Al_el saumyar_  R    1:03:18      3 hm[041-043]
            139057     large     run2 prashans PD       0:00      2 (QOSMinCpuNotSatisfied)
             82555     large     test  skjoshi PD       0:00      2 (PartitionTimeLimit)
            138844    medium test-run prashans PD       0:00      1 (QOSGrpJobsLimit)
             87898    medium     test mr_ali.i PD       0:00      3 (QOSGrpJobsLimit)
            138131    medium     bash aviral_g PD       0:00      1 (QOSGrpJobsLimit)
             85227    medium medium.s alankrit PD       0:00      8 (InvalidAccount)
             84937    medium medium.s alankrit PD       0:00      8 (InvalidAccount)
             81935    medium     test  skjoshi PD       0:00      1 (InvalidAccount)
            159705    medium pbesol-m vikass_t  R   19:18:34     20 cn[019,084-095,144-145,199-203]
            160105    medium      hse saumyar_  R    1:23:09     12 cn[011-012,056-065]
            141297     small   siesta prashans PD       0:00      1 (QOSGrpJobsLimit)
            146425     small tt_data_ snaveenk PD       0:00      4 (QOSGrpJobsLimit)
            154113     small print-no r_moon.i PD       0:00      1 (QOSGrpJobsLimit)
